Text,Sub-task A
Nailed it ...outstanding reply to film companion and others,NAG
Super vai,NAG
"@Arnab: Do you know what are the plans of Govt with the Illegal immigrants?
How would a refugee prove religious persecution? Why have we shown selective
compassion?  
Do you really think it is the right time for India to do an activity like NRC
given the facts that almost 20% population are below poverty line and 30% of
adult population are still illiterate which constitutes more than 50% Women
who are still deprived of their basic needs. Do you think, this is the time
such exercise would be of any beneficial to India? Don't you think the CJI and
GOI has wasted our huge 16K Cr rupees in this unsuccessful exercise and if we
live the money aside, look at the extent of trouble and pain people went in
Assam due to this.  
The reason I Pointed to NRC is because NPR is nothing but Opening Step of NRC
and with reference to Scroll.in(correct me if I am wrong) the new questions
added to NPR are indicators of the NRC exclusion process.  
You being a Journalist and from Assam, doesn't this pinches your heart and
raises alarm. Is there no value of human life on this land anymore?  
  
I strongly Oppose NRC, Oppose CAA amendment in the current situation.  
Was there any effective effort from GOI to stop the infiltration?  
  
GOI is just find ways to treat us like goats every now and then.  
  
I know, this questions should be thrown at GOI, however, as I see you a so
called representative of the GOI most of the time, so, I am throwing this on
you.  
Moreover, whats wrong with you getting stuck in this stupid debates on who
told what. Everyone around us promote lies everyday. Nobody really bothers
that anymore. Starting from PM to HM to Activist everyone promotes lies
everywhere but no facts. So, Arundhati is no different, where we cannot trust
the PM/CJI for that matter, who is Arundhati in that league. No one cares
about her. I stopped watching your channel, just thought of looking over today
for a change, but nothing changed. Same insensitive arguments and false
narratives. I wish I could say alternate narratives, but I see them clearly to
be false.  
Also JFYI, I supported the change in Govt, but really regretting now. I dont
support any political party anymore. So, please dont ask me why didn't I speak
during UPA rule. I dont have to answer that to you.",NAG
Good job bro 🤘❤✌,NAG
Thanks brother for your good explanation .,NAG
NICE Shirt Pratik Bhai 😂,NAG
"She is social pollutant  
She should be arrested as quick as possible",OAG
I lov ur video dada. ......,NAG
"This movie hits at people's Mesmorism about a king... Because he is a king he
is justified being doing all",NAG
Good job.,NAG
This movie was total shit...,OAG
Nice review .. can i get a like,NAG
Wow amazing videos,NAG
your are no Santa Claus,NAG
"Very good... throw out these homosexuals out of India... bloody rouge.. bloody
SC deteriorating Indian culture... bann the SC first... bloody old gay
judges...",NAG
"I appreciate what you are saying.I will always support you  
  
  
  
whatever it takes",NAG
good job jahangir,NAG
that's is rong yarr,NAG
"This lady is the true face of urban naxal,and is paid by western countries and
isi to destroy india by giving provocative speech,she should be put behind
bars",OAG
SUSSANE arundhati roy,NAG
"if you reading this comment So I want to suggest you a book named ""Incognito
written by david eagleman""
its really great book you wont regreat reading it",NAG
Thanku sir.... You're awesome,NAG
"Ms.Roy should have been arrested immediately when she is enticing people in
the public.",NAG
"Now, remember these English speaking monarchy minded Congress and hippocrate
Communist have to polish shoes of common people and they will get room below
shoe to take rest.",CAG
"Check the news:  
A guy from TikTok name Ashwani Kumar murdered a flight attendant he was
obsessed with. He was uploading villain clips on social media imitating Kabir
Singh.",NAG
"Exactly bro...... you are absolutely right. I am with your thoughts. Please
keep posting these kinda videos really appreciate your work",NAG
Nice vedio,NAG
"You are absolutely right dada,",NAG
Review Joker bro,NAG
scary tube lol 🤣🤣🤣,NAG
@Anindita Maity nice sister... you are right,NAG
@Its chakshank wlcm❤,NAG
"Didn't see a video so demeaning of lgbt and women alike... U guys should be
ashamed! Which day n age r u living in? Hope I cud spam such videos.",CAG
"Even lgbt people have their own standards lol ...I'm gay but you will never
find me drooling over boys in public for mere pleasure... And also I have a
type.",NAG
You really want to spoil such masterpieces?,NAG
"Alpha male is a pack builder not a timid destroyer who hides behind the mask
of masculinity... Yes only dumb girls who has extreme psychological issues
themselves can fall in love with such a gross character !!! Codependencey is a
thing ... Kabir shing is a portrayal of toxic codependency only !!! A sane
independent girl will run miles away as soon as she smells a Kabir shing ...
But if she doesn't and embresses the insane dominant dynamic then mere Bhai
you both have deep rooted psychological issues and need immediate therapy ...
Otherwise together or not both are doomed my friend !! In my opinion if you
even like the character you need therapy ...  
Ask yourself what within you makes you like and imitate such a gross tatty
character!! Very very problematic",OAG
I. like you very nice,NAG
Media and public Bengali film land of women public television series is a good,NAG
"Real man is someone who has purpose in his life. Purpose makes our lives
meaningful.",NAG
Nice Bro,NAG
Your biggest ac,NAG
Fuck feminism !,OAG
"I love you brother for saying this on this platform. I completely agree with
your thoughts.",NAG
Omg what a retard,OAG
Super!!,NAG
Your right my friend,NAG
U are right,NAG
Great job jahangir bhai,NAG
Nice apu didi,NAG
"@Pratik Borade bro i have master's degree in physics from IIT kgp. Seriously
dude you should reads books. I am not even laughing at you. I feel pity . I
feel pity for myself for wasting my time on some dumb YouTuber. Hasi ka patra?
Some one pls just kill me I can't take it anymore",CAG
Hmm,NAG
"Kabir singh is synonymous to every rickshawallah who drink and and beat their
wife , are sex addicts , and sulk when their wives leave them. Wonder why
people dont make movies on them",OAG
"From the depth of my Heart i like the way you observe things and share your
point of views... this is my first comment please sir give Heart ☺",NAG
@Amritpal Singh yes,NAG
Bollywood lionize shit,NAG
I m thinking that u r reviewing a movie or just using it for poltical agenda.,CAG
Jhand movie is the perfect word,OAG
U r true bhaii,NAG
"Nikita Tiwari hey miss nikita are you one of them who is lesbo and want to
join army ?or in your fmly any member is there who is gay ? My middle finger
salutes you .thnks for commenting🤡",CAG
nice,NAG
Yes you are right,NAG
